Segment,Matuirity,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Disputer rate,Payers,Disputers,Payers_covered,Payers_covered_to_point,Disputes_covered,Disputes_covered_to_point
maturity_day < 14 & payments > 1,5.0,spent_to_date ≤ 217.995,payments_last_7d > 2.5,payments_to_date > 14.5,minutes_to_pay_since_first_game > 7.5,daily_games_first_14d > 535.43,0.07729468599033816,207.0,16.0,5.9875078025614966e-05,0.0061,0.00121,0.182
maturity_day > 14 & paying_matuirity > 14 & payments > 1,35.0,payments_last_14d > 14.5,payments_last_14d > 103.5,minutes_to_play ≤ 0.5,spent_last_14d ≤ 2635.995,,0.07692307692307693,117.0,9.0,3.384243540578237e-05,0.0061,0.00068,0.182
maturity_day > 14 & paying_matuirity > 14 & payments > 1,30.0,payments_last_14d > 7.5,payments_last_14d > 101.5,spent_last_7d > 750.985,local_time_after_18 > 8392.0,,0.07692307692307693,117.0,9.0,3.384243540578237e-05,0.0062,0.00068,0.183
maturity_day < 14 & payments > 1,14.0,payments_last_7d > 5.5,spent_last_7d > 1363.5,max_daily_spent > 1049.985,games_last_7d ≤ 11654.5,,0.07692307692307693,91.0,7.0,2.63218942044974e-05,0.0062,0.00053,0.183
maturity_day > 14 & paying_matuirity > 14 & payments > 1,77.0,spent_to_date > 1056.995,max_games_daily_games > 4784.0,max_daily_spent > 322.5,max_games_daily_games ≤ 6671.5,,0.07627118644067797,118.0,9.0,3.413168699044718e-05,0.0062,0.00068,0.184
maturity_day > 14 & paying_matuirity > 14 & payments > 1,55.0,max_daily_spent > 85.495,win_amount_to_date > 13258.11,daily_games_first_1d > 694.345,minutes_to_pay_since_first_game > 2952.5,,0.07627118644067797,118.0,9.0,3.413168699044718e-05,0.0063,0.00068,0.185
maturity_day > 14 & paying_matuirity > 14 & payments > 1,33.0,payments_last_14d > 18.5,max_daily_spent ≤ 744.985,payments_last_14d ≤ 104.5,minutes_to_payment > 3648.0,max_daily_spent > 98.495,0.07582938388625593,211.0,16.0,6.103208436427419e-05,0.0063,0.00121,0.186
maturity_day > 14 & paying_matuirity > 14 & payments > 1,33.0,payments_last_14d > 18.5,max_daily_spent ≤ 744.985,payments_last_14d > 104.5,,,0.0755813953488372,172.0,13.0,4.9751272562346735e-05,0.0064,0.00098,0.187
maturity_day > 14 & paying_matuirity > 14 & payments > 1,67.0,spent_to_date ≤ 775.985,win_amount_last_14d > 429.86,local_time_6_to_12 ≤ 7858.0,spent_to_date ≤ 415.99,payments_to_date > 26.5,0.07526881720430108,93.0,7.0,2.6900397373827013e-05,0.0064,0.00053,0.188
maturity_day > 14 & paying_matuirity > 14 & payments > 1,64.0,spent_last_7d > 46.5,payments_last_7d > 48.5,local_time_after_18 > 9259.0,,,0.07514450867052024,173.0,13.0,5.004052414701154e-05,0.0065,0.00098,0.189
maturity_day > 14 & paying_matuirity > 14 & payments > 1,75.0,max_daily_spent > 324.995,local_time_6_to_12 > 48460.0,,,,0.075,120.0,9.0,3.471019015977679e-05,0.0065,0.00068,0.189
maturity_day > 14 & paying_matuirity > 14 & payments > 1,15.0,spent_last_7d > 1155.0,"days_gt50_bet__1,0,1,1,1,1,1] ≤ 0.5",payments_last_7d ≤ 27.5,,,0.07446808510638298,94.0,7.0,2.718964895849182e-05,0.0065,0.00053,0.19
maturity_day > 14 & paying_matuirity > 14 & payments > 1,86.0,payments_to_date > 13.5,win_amount_to_date > 35250.271,local_time_6_to_12 > 35413.0,,,0.0743801652892562,121.0,9.0,3.49994417444416e-05,0.0066,0.00068,0.19
